PID,LINEAR,CONCAVE,CONVEX
190503_04451_0000000,28.279,25.153,27.426
190503_07174_0000000,30.948,34.742,34.472
190507_04413_0000000,32.444,31.706,32.17
190507_05471_0000000,27.479,23.687,24.314
190507_07447_0000000,32.363,32.667,38.145
190507_07917_0000000,33.926,31.978,34.478
190507_07982_0000000,28.462,26.499,32.18
190507_09910_0000000,24.973,28.285,39.919
190509_02904_0000000,31.506,25.666,32.144
190509_09393_0000000,36.473,32.081,37.129
190510_02127_0000000,29.154,30.961,24.156
190510_06850_0000000,32.169,29.066,29.919
190916_01120_0000000,33.783,20.117,26.812
190916_03398_0000000,32.792,32.306,35.416
190916_04465_0000000,32.341,29.381,35.595
190918_04053_0000000,30.564,28.832,32.636
190918_04431_0000000,34.124,29.397,34.761
190918_05324_0000000,35.019,26.236,36.02
190918_08802_0000000,28.943,33.065,38.906
190919_05426_0000000,28.943,28.124,37.573
190919_06377_0000000,31.659,26.106,35.21
190920_02669_0000000,27.028,29.784,35.303
190920_06992_0000000,32.597,29.455,33.341
190920_08119_0000000,33.187,32.176,34.514
190920_08418_0000000,36.316,34.649,41.602
190923_01967_0000000,29.676,30.22,33.862
190925_04685_0000000,23.914,23.96,29.186
190925_07485_0000000,34.598,31.631,37.143
190925_08355_0000000,34.851,29.087,33.856
190926_05953_0000000,34.199,32.207,33.872
190926_06797_0000000,35.986,35.873,37.468
190926_08013_0000000,34.534,33.41,40.527
191001_08068_0000000,32.514,24.399,32.939
191002_05744_0000000,25.283,17.656,25.852
191003_01208_0000000,29.028,27.538,34.864
191003_05272_0000000,28.48,30.871,32.8
191024_07555_0000000,31.964,30.864,33.999
191030_04920_0000000,18.842,25.221,25.85
191030_07200_0000000,32.383,29.933,34.305
191030_08706_0000000,34.352,27.318,29.49
191031_01632_0000000,36.956,36.989,40.458
191031_03190_0000000,36.138,27.6,36.871
191104_01889_0000000,31.384,27.594,29.817
191104_03828_0000000,40.416,40.634,42.988
191105_03624_0000000,27.209,25.621,29.143
191105_04637_0000000,33.425,24.918,36.923
191105_05103_0000000,31.121,26.395,30.236
191105_05638_0000000,33.936,28.081,31.478
191105_06919_0000000,23.938,26.626,29.508
191105_09161_0000000,29.188,29.96,35.657
191111_03305_0000000,35.167,33.733,37.212
191111_03970_0000000,23.802,22.033,26.734
191111_05275_0000000,33.893,33.248,36.816
191111_06816_0000000,35.485,29.371,35.434
